patch,label,sequence,feature,tree,graph,codet5,plbart,unixcoder,graphcodebert,codebert
Arja-e_Math_82_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Arja-e_Math_84_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Arja-e_Math_85_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Arja-e_Math_88_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Arja-e_Time_11_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
Arja-e_Time_17_defects4j_patch1,1,1,1,0,1,1,1,1,1,1
Arja-e_Time_24_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
Arja-e_Time_7_defects4j_patch1,1,0,0,0,1,0,0,0,0,0
Arja-e_Time_9_defects4j_patch1,1,1,0,1,1,1,1,1,1,0
CapGen_Lang_43_defects4j_patch10,1,1,1,1,1,1,1,1,1,0
CapGen_Lang_43_defects4j_patch7,1,1,1,1,1,1,1,1,1,0
CapGen_Lang_43_defects4j_patch9,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch11,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch13,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch14,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch30,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch32,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch33,1,1,0,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch34,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch36,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch48,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch52,1,1,1,1,1,1,1,1,1,1
CapGen_Lang_59_defects4j_patch8,1,1,1,1,1,1,1,1,1,1
CapGen_Math_5_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
CapGen_Math_5_defects4j_patch11,1,1,0,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch11,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch16,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch28,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch30,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch8,1,1,1,1,1,1,1,1,1,1
CapGen_Math_63_defects4j_patch9,1,1,1,1,1,0,0,0,0,0
CapGen_Math_80_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch13,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch29,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch32,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch33,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch34,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch36,1,1,0,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch37,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch8,1,1,1,1,1,1,1,1,1,1
CapGen_Math_80_defects4j_patch9,1,1,1,1,1,1,1,1,1,1
CapGen_Math_85_defects4j_patch10,1,1,1,1,1,1,1,1,1,1
CapGen_Math_85_defects4j_patch12,1,1,1,1,1,1,1,1,1,1
CapGen_Math_85_defects4j_patch8,1,1,1,1,1,1,1,1,1,1
Cardumen_Chart_13_defects4j_patch2,1,1,0,0,1,1,0,0,1,0
Cardumen_Chart_24_defects4j_patch2,1,0,0,0,0,0,0,0,0,0
Cardumen_Chart_6_defects4j_patch2,1,1,0,1,1,1,1,1,1,1
Cardumen_Closure_62_defects4j_patch2,1,0,1,1,1,1,1,1,1,1
Cardumen_Math_5_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
Cardumen_Math_73_defects4j_patch2,1,1,1,0,1,1,1,1,1,0
Cardumen_Math_85_defects4j_patch2,1,1,1,0,1,1,1,1,1,1
Cardumen_Math_95_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
ConFix_Chart_13_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Chart_15_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Chart_25_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Chart_26_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Chart_3_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Closure_108_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
ConFix_Closure_119_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
ConFix_Closure_125_defects4j_patch3,1,0,0,0,0,0,0,0,0,0
ConFix_Closure_133_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Closure_2_defects4j_patch1,1,1,1,1,1,1,0,1,1,0
ConFix_Closure_21_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Closure_22_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Closure_55_defects4j_patch1,1,1,0,1,0,0,0,0,0,0
ConFix_Closure_59_defects4j_patch1,1,0,0,0,1,0,0,0,0,0
ConFix_Closure_79_defects4j_patch1,1,0,0,0,1,1,1,1,1,1
ConFix_Closure_83_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
ConFix_Closure_89_defects4j_patch1,1,0,0,1,0,0,0,0,0,1
ConFix_Closure_90_defects4j_patch3,1,0,0,0,0,0,0,0,0,0
ConFix_Lang_22_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Lang_27_defects4j_patch1,1,1,1,1,1,1,1,0,1,1
ConFix_Lang_31_defects4j_patch1,1,0,0,0,0,0,0,1,0,0
ConFix_Lang_43_defects4j_patch3,1,1,1,1,1,1,1,1,1,0
ConFix_Lang_45_defects4j_patch1,1,1,1,0,1,1,0,1,0,0
ConFix_Lang_59_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Lang_60_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Lang_7_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_18_defects4j_patch3,1,0,0,0,0,0,0,0,0,0
ConFix_Math_2_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_20_defects4j_patch1,1,0,1,1,1,1,1,1,1,1
ConFix_Math_28_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Math_29_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Math_3_defects4j_patch1,1,0,0,0,0,1,0,0,0,0
ConFix_Math_32_defects4j_patch1,1,0,0,0,0,1,1,1,1,1
ConFix_Math_40_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_42_defects4j_patch1,1,1,1,1,0,1,1,1,1,1
ConFix_Math_44_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Math_50_defects4j_patch1,1,1,0,1,1,1,1,1,0,0
ConFix_Math_56_defects4j_patch1,1,1,0,0,1,0,0,0,0,0
ConFix_Math_57_defects4j_patch1,1,1,0,1,0,1,1,1,1,0
ConFix_Math_58_defects4j_patch1,1,0,0,0,0,0,1,0,0,1
ConFix_Math_61_defects4j_patch1,1,0,0,0,0,0,0,1,1,0
ConFix_Math_62_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Math_63_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_7_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
ConFix_Math_74_defects4j_patch3,1,1,1,1,0,1,1,1,1,0
ConFix_Math_78_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Math_8_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_80_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Math_81_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_82_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_84_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Math_94_defects4j_patch1,1,0,1,0,0,0,0,0,0,0
ConFix_Math_95_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Time_11_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
ConFix_Time_17_defects4j_patch1,1,1,0,1,1,1,1,1,1,1
ConFix_Time_4_defects4j_patch3,1,1,1,1,1,1,1,1,1,1
ConFix_Time_7_defects4j_patch1,1,0,0,0,0,0,0,0,0,0
ConFix_Time_9_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DeepRepair_Chart_1_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DeepRepair_Chart_25_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DeepRepair_Chart_5_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DeepRepair_Chart_7_defects4j_patch1,1,0,1,1,1,1,1,1,1,1
DeepRepair_Math_28_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DeepRepair_Math_49_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DeepRepair_Math_53_defects4j_patch1,1,0,0,0,0,0,0,1,0,0
DeepRepair_Math_81_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Chart_1_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Chart_13_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Chart_15_defects4j_patch2,1,1,1,1,1,1,1,1,1,1
DynaMoth_Chart_18_defects4j_patch1,1,1,0,1,1,0,1,1,1,1
DynaMoth_Chart_25_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Chart_5_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Lang_51_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Lang_63_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_105_defects4j_patch1,1,1,1,1,1,1,1,1,1,1
DynaMoth_Math_20_defects4j_patch1,1,0,0,1,0,0,1,1,1,1
